ID X Y
1 0.000000 0.000000
2 0.200000 0.000000
3 0.400000 0.000000
4 0.600000 0.000000
5 0.800000 0.000000
6 1.000000 0.000000
7 1.200000 0.000000
8 1.400000 0.000000
9 1.600000 0.000000
10 1.800000 0.000000
11 2.000000 0.000000
12 2.200000 0.000000
13 2.400000 0.000000
14 2.600000 0.000000
15 2.800000 0.000000
16 3.000000 0.000000
17 3.200000 0.000000
18 3.400000 0.000000
19 3.600000 0.000000
20 3.800000 0.000000
21 4.000000 0.000000
22 0.000000 0.200000
23 0.200000 0.200000
24 0.400000 0.200000
25 0.600000 0.200000
26 0.800000 0.200000
27 1.000000 0.200000
28 1.200000 0.200000
29 1.400000 0.200000
30 1.600000 0.200000
31 1.800000 0.200000
32 2.000000 0.200000
33 2.200000 0.200000
34 2.400000 0.200000
35 2.600000 0.200000
36 2.800000 0.200000
37 3.000000 0.200000
38 3.200000 0.200000
39 3.400000 0.200000
40 3.600000 0.200000
41 3.800000 0.200000
42 4.000000 0.200000
43 0.000000 0.400000
44 0.200000 0.400000
45 0.400000 0.400000
46 0.600000 0.400000
47 0.800000 0.400000
48 1.000000 0.400000
49 1.200000 0.400000
50 1.400000 0.400000
51 1.600000 0.400000
52 1.800000 0.400000
53 2.000000 0.400000
54 2.200000 0.400000
55 2.400000 0.400000
56 2.600000 0.400000
57 2.800000 0.400000
58 3.000000 0.400000
59 3.200000 0.400000
60 3.400000 0.400000
61 3.600000 0.400000
62 3.800000 0.400000
63 4.000000 0.400000
64 0.000000 0.600000
65 0.200000 0.600000
66 0.400000 0.600000
67 0.600000 0.600000
68 0.800000 0.600000
69 1.000000 0.600000
70 1.200000 0.600000
71 1.400000 0.600000
72 1.600000 0.600000
73 1.800000 0.600000
74 2.000000 0.600000
75 2.200000 0.600000
76 2.400000 0.600000
77 2.600000 0.600000
78 2.800000 0.600000
79 3.000000 0.600000
80 3.200000 0.600000
81 3.400000 0.600000
82 3.600000 0.600000
83 3.800000 0.600000
84 4.000000 0.600000
85 0.000000 0.800000
86 0.200000 0.800000
87 0.400000 0.800000
88 0.600000 0.800000
89 0.800000 0.800000
90 1.000000 0.800000
91 1.200000 0.800000
92 1.400000 0.800000
93 1.600000 0.800000
94 1.800000 0.800000
95 2.000000 0.800000
96 2.200000 0.800000
97 2.400000 0.800000
98 2.600000 0.800000
99 2.800000 0.800000
100 3.000000 0.800000
101 3.200000 0.800000
102 3.400000 0.800000
103 3.600000 0.800000
104 3.800000 0.800000
105 4.000000 0.800000
106 0.000000 1.000000
107 0.200000 1.000000
108 0.400000 1.000000
109 0.600000 1.000000
110 0.800000 1.000000
111 1.000000 1.000000
112 1.200000 1.000000
113 1.400000 1.000000
114 1.600000 1.000000
115 1.800000 1.000000
116 2.000000 1.000000
117 2.200000 1.000000
118 2.400000 1.000000
119 2.600000 1.000000
120 2.800000 1.000000
121 3.000000 1.000000
122 3.200000 1.000000
123 3.400000 1.000000
124 3.600000 1.000000
125 3.800000 1.000000
126 4.000000 1.000000
127 0.000000 1.200000
128 0.200000 1.200000
129 0.400000 1.200000
130 0.600000 1.200000
131 0.800000 1.200000
132 1.000000 1.200000
133 1.200000 1.200000
134 1.400000 1.200000
135 1.600000 1.200000
136 1.800000 1.200000
137 2.000000 1.200000
138 2.200000 1.200000
139 2.400000 1.200000
140 2.600000 1.200000
141 2.800000 1.200000
142 3.000000 1.200000
143 3.200000 1.200000
144 3.400000 1.200000
145 3.600000 1.200000
146 3.800000 1.200000
147 4.000000 1.200000
148 0.000000 1.400000
149 0.200000 1.400000
150 0.400000 1.400000
151 0.600000 1.400000
152 0.800000 1.400000
153 1.000000 1.400000
154 1.200000 1.400000
155 1.400000 1.400000
156 1.600000 1.400000
157 1.800000 1.400000
158 2.000000 1.400000
159 2.200000 1.400000
160 2.400000 1.400000
161 2.600000 1.400000
162 2.800000 1.400000
163 3.000000 1.400000
164 3.200000 1.400000
165 3.400000 1.400000
166 3.600000 1.400000
167 3.800000 1.400000
168 4.000000 1.400000
169 0.000000 1.600000
170 0.200000 1.600000
171 0.400000 1.600000
172 0.600000 1.600000
173 0.800000 1.600000
174 1.000000 1.600000
175 1.200000 1.600000
176 1.400000 1.600000
177 1.600000 1.600000
178 1.800000 1.600000
179 2.000000 1.600000
180 2.200000 1.600000
181 2.400000 1.600000
182 2.600000 1.600000
183 2.800000 1.600000
184 3.000000 1.600000
185 3.200000 1.600000
186 3.400000 1.600000
187 3.600000 1.600000
188 3.800000 1.600000
189 4.000000 1.600000
190 0.000000 1.800000
191 0.200000 1.800000
192 0.400000 1.800000
193 0.600000 1.800000
194 0.800000 1.800000
195 1.000000 1.800000
196 1.200000 1.800000
197 1.400000 1.800000
198 1.600000 1.800000
199 1.800000 1.800000
200 2.000000 1.800000
201 2.200000 1.800000
202 2.400000 1.800000
203 2.600000 1.800000
204 2.800000 1.800000
205 3.000000 1.800000
206 3.200000 1.800000
207 3.400000 1.800000
208 3.600000 1.800000
209 3.800000 1.800000
210 4.000000 1.800000
211 0.000000 2.000000
212 0.200000 2.000000
213 0.400000 2.000000
214 0.600000 2.000000
215 0.800000 2.000000
216 1.000000 2.000000
217 1.200000 2.000000
218 1.400000 2.000000
219 1.600000 2.000000
220 1.800000 2.000000
221 2.000000 2.000000
222 2.200000 2.000000
223 2.400000 2.000000
224 2.600000 2.000000
225 2.800000 2.000000
226 3.000000 2.000000
227 3.200000 2.000000
228 3.400000 2.000000
229 3.600000 2.000000
230 3.800000 2.000000
231 4.000000 2.000000
