ID MatID Type N1 N2 N3
266 1 3 56 78 77
267 1 3 77 78 99
268 1 3 77 99 98
269 1 3 98 99 120
270 1 3 98 120 119
271 1 3 119 120 141
272 1 3 119 141 140
273 1 3 140 141 162
274 1 3 140 162 161
275 1 3 161 162 183
276 1 3 161 183 182
277 1 3 182 183 204
278 1 3 182 204 203
279 1 3 203 204 225
280 1 3 203 225 224
281 1 3 15 16 37
282 1 3 15 37 36
283 1 3 36 37 58
284 1 3 36 58 57
285 1 3 57 58 79
286 1 3 57 79 78
287 1 3 78 79 100
288 1 3 78 100 99
289 1 3 99 100 121
290 1 3 99 121 120
291 1 3 120 121 142
292 1 3 120 142 141
293 1 3 141 142 163
294 1 3 141 163 162
295 1 3 162 163 184
296 1 3 162 184 183
297 1 3 183 184 205
298 1 3 183 205 204
299 1 3 204 205 226
300 1 3 204 226 225
301 1 3 16 17 38
302 1 3 16 38 37
303 1 3 37 38 59
304 1 3 37 59 58
305 1 3 58 59 80
306 1 3 58 80 79
307 1 3 79 80 101
308 1 3 79 101 100
309 1 3 100 101 122
310 1 3 100 122 121
311 1 3 121 122 143
312 1 3 121 143 142
313 1 3 142 143 164
314 1 3 142 164 163
315 1 3 163 164 185
316 1 3 163 185 184
317 1 3 184 185 206
318 1 3 184 206 205
319 1 3 205 206 227
320 1 3 205 227 226
321 1 3 17 18 39
322 1 3 17 39 38
323 1 3 38 39 60
324 1 3 38 60 59
325 1 3 59 60 81
326 1 3 59 81 80
327 1 3 80 81 102
328 1 3 80 102 101
329 1 3 101 102 123
330 1 3 101 123 122
331 1 3 122 123 144
332 1 3 122 144 143
333 1 3 143 144 165
334 1 3 143 165 164
335 1 3 164 165 186
336 1 3 164 186 185
337 1 3 185 186 207
338 1 3 185 207 206
339 1 3 206 207 228
340 1 3 206 228 227
341 1 3 18 19 40
342 1 3 18 40 39
343 1 3 39 40 61
344 1 3 39 61 60
345 1 3 60 61 82
346 1 3 60 82 81
347 1 3 81 82 103
348 1 3 81 103 102
349 1 3 102 103 124
350 1 3 102 124 123
351 1 3 123 124 145
352 1 3 123 145 144
353 1 3 144 145 166
354 1 3 144 166 165
355 1 3 165 166 187
356 1 3 165 187 186
357 1 3 186 187 208
358 1 3 186 208 207
359 1 3 207 208 229
360 1 3 207 229 228
361 1 3 19 20 41
362 1 3 19 41 40
363 1 3 40 41 62
364 1 3 40 62 61
365 1 3 61 62 83
366 1 3 61 83 82
367 1 3 82 83 104
368 1 3 82 104 103
369 1 3 103 104 125
370 1 3 103 125 124
371 1 3 124 125 146
372 1 3 124 146 145
373 1 3 145 146 167
374 1 3 145 167 166
375 1 3 166 167 188
376 1 3 166 188 187
377 1 3 187 188 209
378 1 3 187 209 208
379 1 3 208 209 230
380 1 3 208 230 229
381 1 3 20 21 42
382 1 3 20 42 41
383 1 3 41 42 63
384 1 3 41 63 62
385 1 3 62 63 84
386 1 3 62 84 83
387 1 3 83 84 105
388 1 3 83 105 104
389 1 3 104 105 126
390 1 3 104 126 125
391 1 3 125 126 147
392 1 3 125 147 146
393 1 3 146 147 168
394 1 3 146 168 167
395 1 3 167 168 189
396 1 3 167 189 188
397 1 3 188 189 210
398 1 3 188 210 209
399 1 3 209 210 231
400 1 3 209 231 230
